Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-11-27,63.04,63.26,62.69,63.05,674381.0,0.0,1.0,63.04,63.26,62.69,63.05,674381.0
2015-11-25,63.17,63.3,62.72,62.92,1199068.0,0.0,1.0,63.17,63.3,62.72,62.92,1199068.0
2015-11-24,62.24,63.355,62.04,63.08,1858493.0,0.0,1.0,62.24,63.355,62.04,63.08,1858493.0
2015-11-23,60.42,63.27,60.42,62.71,2902374.0,0.0,1.0,60.42,63.27,60.42,62.71,2902374.0
2015-11-20,60.55,60.88,58.55,60.55,7655977.0,0.0,1.0,60.55,60.88,58.55,60.55,7655977.0
2015-11-19,61.47,62.65,61.04,62.39,3476743.0,0.0,1.0,61.47,62.65,61.04,62.39,3476743.0
2015-11-18,61.28,61.61,60.1,61.25,2984214.0,0.0,1.0,61.28,61.61,60.1,61.25,2984214.0
2015-11-17,61.17,62.4,60.87,61.25,2961213.0,0.0,1.0,61.17,62.4,60.87,61.25,2961213.0
2015-11-16,60.78,61.72,60.07,60.93,4000726.0,0.0,1.0,60.78,61.72,60.07,60.93,4000726.0
2015-11-13,61.6,61.71,60.18,60.45,3329407.0,0.0,1.0,61.6,61.71,60.18,60.45,3329407.0
2015-11-12,62.0,62.42,61.38,61.75,3729319.0,0.0,1.0,62.0,62.42,61.38,61.75,3729319.0
2015-11-11,63.51,63.64,62.095,62.12,4286075.0,0.0,1.0,63.51,63.64,62.095,62.12,4286075.0
2015-11-10,61.88,63.37,61.82,63.36,3783589.0,0.0,1.0,61.88,63.37,61.82,63.36,3783589.0
2015-11-09,62.54,63.63,62.39,63.51,3794356.0,0.0,1.0,62.54,63.63,62.39,63.51,3794356.0
2015-11-06,62.8,63.92,62.24,63.88,4793059.0,0.0,1.0,62.8,63.92,62.24,63.88,4793059.0
2015-11-05,61.0,63.72,60.14,63.49,12548439.0,0.0,1.0,61.0,63.72,60.14,63.49,12548439.0
2015-11-04,57.9,58.11,57.48,57.83,2080894.0,0.0,1.0,57.9,58.11,57.48,57.83,2080894.0
2015-11-03,56.9,58.56,56.63,57.93,2817000.0,0.0,1.0,56.9,58.56,56.63,57.93,2817000.0
2015-11-02,55.51,57.03,55.16,56.89,3184865.0,0.0,1.0,55.51,57.03,55.16,56.89,3184865.0
2015-10-30,53.07,55.6,53.0,55.19,3067319.0,0.0,1.0,53.07,55.6,53.0,55.19,3067319.0
2015-10-29,55.21,55.31,54.82,55.06,2012419.0,0.0,1.0,55.21,55.31,54.82,55.06,2012419.0
2015-10-28,54.24,55.82,53.95,55.5,3935045.0,0.0,1.0,54.24,55.82,53.95,55.5,3935045.0
2015-10-27,53.44,54.13,53.18,54.1,3041302.0,0.0,1.0,53.44,54.13,53.18,54.1,3041302.0
2015-10-26,53.24,53.67,52.94,53.61,3042574.0,0.0,1.0,53.24,53.67,52.94,53.61,3042574.0
2015-10-23,52.8,52.8447,51.86,52.39,2554395.0,0.0,1.0,52.8,52.8447,51.86,52.39,2554395.0
2015-10-22,51.5,53.321,51.5,52.59,2123741.0,0.0,1.0,51.5,53.321,51.5,52.59,2123741.0
2015-10-21,52.34,52.39,51.08,51.13,1687153.0,0.0,1.0,52.34,52.39,51.08,51.13,1687153.0
2015-10-20,51.99,52.34,51.69,52.0,2455066.0,0.0,1.0,51.99,52.34,51.69,52.0,2455066.0
2015-10-19,51.91,52.7431,51.66,52.44,3033124.0,0.0,1.0,51.91,52.7431,51.66,52.44,3033124.0
2015-10-16,52.37,52.54,51.57,52.04,3113716.0,0.0,1.0,52.37,52.54,51.57,52.04,3113716.0
2015-10-15,51.53,52.385,51.53,52.14,1865795.0,0.0,1.0,51.53,52.385,51.53,52.14,1865795.0
